Ref,Val,Package,PosX,PosY,Rot,Side
"D90","~","LED-WS2812B-2020",61.000000,-66.500000,180.000000,top
"D91","~","LED-WS2812B-2020",58.000000,-66.500000,180.000000,top
"D92","~","LED-WS2812B-2020",55.000000,-66.500000,180.000000,top
"D93","~","LED-WS2812B-2020",52.000000,-66.500000,180.000000,top
"D94","~","LED-WS2812B-2020",49.000000,-66.500000,180.000000,top
"D95","~","LED-WS2812B-2020",46.000000,-66.500000,180.000000,top
"D96","~","LED-WS2812B-2020",43.000000,-66.500000,180.000000,top
"D97","~","LED-WS2812B-2020",40.000000,-66.500000,180.000000,top
"D98","~","LED-WS2812B-2020",40.000000,-69.500000,0.000000,top
"D99","~","LED-WS2812B-2020",43.000000,-69.500000,0.000000,top
"D100","~","LED-WS2812B-2020",46.000000,-69.500000,0.000000,top
"D101","~","LED-WS2812B-2020",49.000000,-69.500000,0.000000,top
"D102","~","LED-WS2812B-2020",52.000000,-69.500000,0.000000,top
"D103","~","LED-WS2812B-2020",55.000000,-69.500000,0.000000,top
"D104","~","LED-WS2812B-2020",58.000000,-69.500000,0.000000,top
"D105","~","LED-WS2812B-2020",61.000000,-69.500000,0.000000,top
"D106","~","LED-WS2812B-2020",64.000000,-69.500000,0.000000,top
"D107","~","LED-WS2812B-2020",67.000000,-69.500000,0.000000,top
"D108","~","LED-WS2812B-2020",70.000000,-69.500000,0.000000,top
"D109","~","LED-WS2812B-2020",73.000000,-69.500000,0.000000,top
"D110","~","LED-WS2812B-2020",76.000000,-69.500000,0.000000,top
"D111","~","LED-WS2812B-2020",79.000000,-69.500000,0.000000,top
"D112","~","LED-WS2812B-2020",82.000000,-69.500000,0.000000,top
"D113","~","LED-WS2812B-2020",85.000000,-69.500000,0.000000,top
"D114","~","LED-WS2812B-2020",85.000000,-72.500000,180.000000,top
"D115","~","LED-WS2812B-2020",82.000000,-72.500000,180.000000,top
"D116","~","LED-WS2812B-2020",79.000000,-72.500000,180.000000,top
"D117","~","LED-WS2812B-2020",76.000000,-72.500000,180.000000,top
"D118","~","LED-WS2812B-2020",73.000000,-72.500000,180.000000,top
"D119","~","LED-WS2812B-2020",70.000000,-72.500000,180.000000,top
"D120","~","LED-WS2812B-2020",67.000000,-72.500000,180.000000,top
"D121","~","LED-WS2812B-2020",64.000000,-72.500000,180.000000,top
"D122","~","LED-WS2812B-2020",61.000000,-72.500000,180.000000,top
"D123","~","LED-WS2812B-2020",58.000000,-72.500000,180.000000,top
"D124","~","LED-WS2812B-2020",55.000000,-72.500000,180.000000,top
"D125","~","LED-WS2812B-2020",52.000000,-72.500000,180.000000,top
"D126","~","LED-WS2812B-2020",49.000000,-72.500000,180.000000,top
"D127","~","LED-WS2812B-2020",46.000000,-72.500000,180.000000,top
"D128","~","LED-WS2812B-2020",43.000000,-72.500000,180.000000,top
"D129","~","LED-WS2812B-2020",40.000000,-72.500000,180.000000,top
"D130","~","LED-WS2812B-2020",40.000000,-75.500000,0.000000,top
"D131","~","LED-WS2812B-2020",43.000000,-75.500000,0.000000,top
"D132","~","LED-WS2812B-2020",46.000000,-75.500000,0.000000,top
"D133","~","LED-WS2812B-2020",49.000000,-75.500000,0.000000,top
"D134","~","LED-WS2812B-2020",52.000000,-75.500000,0.000000,top
"D135","~","LED-WS2812B-2020",55.000000,-75.500000,0.000000,top
"D136","~","LED-WS2812B-2020",58.000000,-75.500000,0.000000,top
"D137","~","LED-WS2812B-2020",61.000000,-75.500000,0.000000,top
"D138","~","LED-WS2812B-2020",64.000000,-75.500000,0.000000,top
"D139","~","LED-WS2812B-2020",67.000000,-75.500000,0.000000,top
"D140","~","LED-WS2812B-2020",70.000000,-75.500000,0.000000,top
"D141","~","LED-WS2812B-2020",73.000000,-75.500000,0.000000,top
"D142","~","LED-WS2812B-2020",76.000000,-75.500000,0.000000,top
"D143","~","LED-WS2812B-2020",79.000000,-75.500000,0.000000,top
"D144","~","LED-WS2812B-2020",82.000000,-75.500000,0.000000,top
"D145","~","LED-WS2812B-2020",85.000000,-75.500000,0.000000,top
"D146","~","LED-WS2812B-2020",85.000000,-78.500000,180.000000,top
"D147","~","LED-WS2812B-2020",82.000000,-78.500000,180.000000,top
"D148","~","LED-WS2812B-2020",79.000000,-78.500000,180.000000,top
"D149","~","LED-WS2812B-2020",76.000000,-78.500000,180.000000,top
"D150","~","LED-WS2812B-2020",73.000000,-78.500000,180.000000,top
"D151","~","LED-WS2812B-2020",70.000000,-78.500000,180.000000,top
"D152","~","LED-WS2812B-2020",67.000000,-78.500000,180.000000,top
"D153","~","LED-WS2812B-2020",64.000000,-78.500000,180.000000,top
"D154","~","LED-WS2812B-2020",61.000000,-78.500000,180.000000,top
"D155","~","LED-WS2812B-2020",58.000000,-78.500000,180.000000,top
"D156","~","LED-WS2812B-2020",55.000000,-78.500000,180.000000,top
"D157","~","LED-WS2812B-2020",52.000000,-78.500000,180.000000,top
"D158","~","LED-WS2812B-2020",49.000000,-78.500000,180.000000,top
"D159","~","LED-WS2812B-2020",46.000000,-78.500000,180.000000,top
"D160","~","LED-WS2812B-2020",43.000000,-78.500000,180.000000,top
"D161","~","LED-WS2812B-2020",40.000000,-78.500000,180.000000,top
"D162","~","LED-WS2812B-2020",40.000000,-81.500000,0.000000,top
"D163","~","LED-WS2812B-2020",43.000000,-81.500000,0.000000,top
"D164","~","LED-WS2812B-2020",46.000000,-81.500000,0.000000,top
"D165","~","LED-WS2812B-2020",49.000000,-81.500000,0.000000,top
"D166","~","LED-WS2812B-2020",52.000000,-81.500000,0.000000,top
"D167","~","LED-WS2812B-2020",55.000000,-81.500000,0.000000,top
"D168","~","LED-WS2812B-2020",58.000000,-81.500000,0.000000,top
"D169","~","LED-WS2812B-2020",61.000000,-81.500000,0.000000,top
"D170","~","LED-WS2812B-2020",64.000000,-81.500000,0.000000,top
"D171","~","LED-WS2812B-2020",67.000000,-81.500000,0.000000,top
"D172","~","LED-WS2812B-2020",70.000000,-81.500000,0.000000,top
"D173","~","LED-WS2812B-2020",73.000000,-81.500000,0.000000,top
"D174","~","LED-WS2812B-2020",76.000000,-81.500000,0.000000,top
"D175","~","LED-WS2812B-2020",79.000000,-81.500000,0.000000,top
"D176","~","LED-WS2812B-2020",82.000000,-81.500000,0.000000,top
"D177","~","LED-WS2812B-2020",85.000000,-81.500000,0.000000,top
"D178","~","LED-WS2812B-2020",85.000000,-84.500000,180.000000,top
"D179","~","LED-WS2812B-2020",82.000000,-84.500000,180.000000,top
"D180","~","LED-WS2812B-2020",79.000000,-84.500000,180.000000,top
"D181","~","LED-WS2812B-2020",76.000000,-84.500000,180.000000,top
"D182","~","LED-WS2812B-2020",73.000000,-84.500000,180.000000,top
"D183","~","LED-WS2812B-2020",70.000000,-84.500000,180.000000,top
"D184","~","LED-WS2812B-2020",67.000000,-84.500000,180.000000,top
"D185","~","LED-WS2812B-2020",64.000000,-84.500000,180.000000,top
"D186","~","LED-WS2812B-2020",61.000000,-84.500000,180.000000,top
"D187","~","LED-WS2812B-2020",58.000000,-84.500000,180.000000,top
"D188","~","LED-WS2812B-2020",55.000000,-84.500000,180.000000,top
"D189","~","LED-WS2812B-2020",52.000000,-84.500000,180.000000,top
"D190","~","LED-WS2812B-2020",49.000000,-84.500000,180.000000,top
"D191","~","LED-WS2812B-2020",46.000000,-84.500000,180.000000,top
"D192","~","LED-WS2812B-2020",43.000000,-84.500000,180.000000,top
"D193","~","LED-WS2812B-2020",40.000000,-84.500000,180.000000,top
